Camptothecin	5-Fluorouracil	Afatinib	Taselisib	PD0325901	Linsitinib	Sapitinib	Luminespib	Alpelisib	SCH772984
749709	0	0	0	1	0	0	1	0	1	0
749710	0	0	0	0	0	0	1	0	0	0
749711	0	0	0	0	0	0	0	0	0	0
749712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
749713	0	0	0	0	NA	1	0	0	1	0
749714	0	0	0	0	0	0	0	0	0	0
749715	0	0	0	0	0	0	1	0	0	0
749716	0	0	1	0	NA	0	1	0	0	0
749717	0	0	0	0	0	0	0	0	0	0
905936	0	0	0	0	0	0	0	0	0	1
905937	0	0	0	0	0	0	0	0	0	0
905939	0	0	0	0	1	1	0	0	0	1
905945	0	0	0	0	0	0	0	0	0	0
905946	0	0	0	0	0	0	0	0	0	0
905951	0	0	0	0	0	0	0	0	0	0
905957	0	0	0	0	0	0	0	0	0	0
905960	0	0	0	0	0	0	0	0	0	0
905961	0	1	0	0	1	1	0	0	0	1
905962	0	0	0	0	1	0	0	0	0	1
905971	0	1	0	0	1	0	0	0	0	1
905989	0	0	0	0	0	0	0	0	0	1
906801	0	0	0	1	0	0	1	0	1	0
906812	0	0	0	0	0	1	0	0	0	0
906826	0	0	0	0	0	0	0	0	0	0
906844	0	0	0	0	1	1	0	0	0	1
906851	0	0	0	0	0	0	0	0	1	0
906862	0	0	0	0	0	0	0	0	0	0
907045	0	0	NA	0	0	0	1	0	0	0
907046	0	0	0	0	0	0	0	0	0	0
907047	0	0	0	0	0	0	1	0	0	0
907048	0	0	0	0	0	0	0	0	0	0
907287	0	0	0	1	1	1	1	0	0	1
907289	0	0	1	0	0	0	0	0	0	0
907291	0	0	0	1	0	0	1	0	1	0
907790	0	0	0	0	1	0	1	0	0	1
907792	0	0	0	0	0	0	0	0	0	0
907794	0	0	0	0	1	0	0	0	0	1
907795	0	1	1	0	1	1	1	0	0	1
908121	0	0	0	1	0	0	1	0	1	0
908122	0	0	0	1	0	0	1	0	1	0
908123	NA	NA	0	NA	0	NA	NA	NA	NA	NA
908151	0	0	NA	0	0	0	0	0	0	0
908457	0	0	0	0	NA	0	1	0	0	1
908458	0	0	0	0	0	1	0	0	0	0
909256	0	0	1	1	0	0	1	0	1	0
909263	0	0	0	0	0	0	0	0	0	1
909698	0	1	0	0	0	0	0	0	0	0
909718	1	0	0	0	1	1	1	0	0	1
909740	0	0	0	0	0	0	0	0	0	0
909747	0	0	0	0	0	0	0	0	0	1
909748	0	0	0	0	0	0	1	0	0	0
909751	0	0	1	1	0	1	1	0	0	1
909755	0	0	0	0	0	0	0	0	0	0
909757	0	0	0	1	0	0	0	0	0	0
909761	0	0	0	0	0	0	0	0	0	0
909778	0	0	1	1	NA	0	1	0	1	0
909907	0	0	1	0	0	0	1	0	0	0
910554	0	0	1	0	0	0	1	0	0	0
910569	0	0	0	0	0	1	0	0	0	0
910689	NA	NA	0	NA	0	NA	NA	NA	NA	NA
910700	0	0	NA	0	0	0	1	0	0	0
910704	0	0	1	0	0	0	1	0	0	0
910852	0	0	0	0	NA	0	0	0	0	0
910905	0	0	0	0	0	1	0	0	0	1
910927	0	0	0	0	0	0	0	1	0	0
910948	0	0	0	0	0	0	0	0	0	0
917486	0	0	0	0	0	0	0	0	0	0
924106	0	0	0	1	0	0	0	0	1	0
924108	0	0	0	0	0	0	0	0	0	0
924240	0	0	0	0	0	0	0	0	0	0
925338	NA	NA	0	NA	0	NA	NA	NA	NA	NA
946359	0	0	NA	0	0	0	1	0	0	0
946382	0	0	0	0	0	0	0	0	0	0
949093	0	0	0	0	NA	0	0	0	0	0
998189	0	0	0	0	0	0	0	0	0	0
1240123	0	0	1	0	0	0	1	0	0	0
1240124	0	0	0	0	1	0	0	0	0	1
1240172	0	0	0	0	0	0	0	0	0	0
1240173	NA	NA	0	NA	1	NA	NA	NA	NA	NA
1290769	0	0	NA	0	1	0	0	0	0	1
1290771	0	0	0	0	0	0	0	0	0	1
1290798	0	0	0	0	NA	0	1	0	0	0
1290905	0	0	0	0	0	0	0	0	0	0
1290922	0	0	0	1	0	1	1	0	0	0
1298157	0	0	0	0	0	0	1	0	0	0
1303900	0	0	0	0	0	0	0	0	0	0
1330941	0	0	1	1	0	0	1	0	1	0
1659823	0	0	0	0	0	0	0	0	0	0
1659928	0	0	0	0	0	0	1	0	0	1
1660034	0	0	0	0	0	0	0	0	0	0
1660036	0	0	0	0	0	0	0	0	0	0
1674021	0	0	0	0	0	0	0	0	0	0
683665	0	0	0	0	0	0	0	0	0	0
683667	0	0	0	0	0	1	0	0	0	0
684052	1	0	0	0	0	1	0	0	0	0
684057	0	0	0	1	0	1	0	0	1	0
684059	1	0	0	0	0	0	0	0	0	0
684062	NA	NA	0	NA	0	NA	NA	NA	NA	NA
684072	1	0	NA	0	0	1	0	0	0	0
687448	0	0	0	0	1	0	0	0	0	1
687452	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
687455	0	0	NA	0	0	0	0	0	0	0
687457	NA	NA	0	NA	0	NA	NA	NA	NA	NA
687459	0	0	NA	0	NA	0	0	0	0	0
687505	0	0	1	0	0	0	1	0	0	0
687506	0	0	0	0	NA	0	0	0	0	0
687514	0	0	0	1	0	0	1	0	0	0
687561	NA	NA	0	NA	0	NA	NA	NA	NA	NA
687562	0	0	NA	0	0	0	0	0	0	0
687563	0	0	0	0	0	0	0	0	0	0
687568	0	0	0	0	NA	0	0	0	0	0
687586	0	0	0	0	0	0	0	0	0	0
687588	0	0	0	0	0	0	0	0	0	0
687590	0	0	0	0	0	0	0	0	0	0
687600	0	0	0	0	0	0	0	0	0	0
687777	0	0	1	0	0	0	1	0	0	0
687780	0	0	0	0	0	0	0	0	0	0
687787	0	0	0	0	0	0	0	0	0	0
687798	0	0	1	1	0	1	1	0	0	0
687799	0	0	1	1	0	0	1	0	1	1
687800	0	0	0	0	0	0	1	0	0	0
687802	0	0	0	0	0	0	1	0	0	0
687807	NA	NA	0	NA	0	NA	NA	NA	NA	NA
687812	0	0	NA	0	0	0	0	0	0	0
687815	0	0	1	0	0	0	1	0	0	0
687816	0	0	0	0	NA	0	0	0	0	0
687819	0	0	0	0	0	0	0	0	0	0
687820	0	0	0	0	0	0	0	0	0	0
687821	0	0	0	0	0	0	0	0	0	0
687829	0	0	0	0	0	0	0	0	0	0
687980	NA	NA	0	NA	0	NA	NA	NA	NA	NA
687983	0	0	NA	0	0	0	0	0	0	0
687985	0	0	0	0	0	0	0	0	0	0
687995	0	0	0	0	NA	0	0	0	0	0
687997	0	0	0	0	0	0	0	0	0	0
688001	NA	NA	0	NA	0	NA	NA	NA	NA	NA
688006	0	0	NA	0	0	0	0	0	0	0
688010	0	0	0	0	0	0	0	0	0	0
688011	0	0	0	0	NA	0	0	0	0	0
688013	1	0	0	0	0	0	0	0	0	0
688014	0	0	0	0	0	0	0	0	0	0
688018	0	0	0	0	0	0	0	0	0	0
688021	0	0	0	0	0	0	0	0	0	0
688023	0	0	0	0	0	0	0	0	0	0
688025	NA	NA	0	NA	0	NA	NA	NA	NA	NA
688026	0	0	NA	0	0	0	0	0	0	0
688027	0	0	0	1	0	0	0	0	1	0
688031	0	0	0	0	NA	0	0	0	0	0
688058	0	0	0	0	0	0	0	0	0	0
688086	0	0	0	0	0	1	0	0	0	0
688087	0	0	0	0	0	1	0	0	0	0
688121	0	0	0	0	0	0	0	0	0	0
713869	0	0	0	0	0	0	0	0	0	0
713878	0	0	0	0	0	0	0	0	0	0
713880	0	0	0	0	0	0	0	0	0	0
713899	0	0	0	0	0	0	0	0	0	0
717431	0	0	0	0	0	0	0	0	0	0
722046	0	1	0	1	1	1	1	0	1	1
722066	0	0	0	0	0	0	0	0	0	0
724825	0	0	0	1	0	1	0	0	1	0
724828	0	0	0	0	1	0	0	0	0	1
724831	0	0	0	0	0	0	0	0	0	0
724834	0	0	0	0	1	0	0	0	0	0
724838	0	0	0	0	0	0	0	0	0	0
724839	0	0	0	0	0	0	0	0	0	0
724855	0	0	0	0	1	0	0	0	0	1
724859	0	0	0	0	1	0	0	0	0	1
724863	0	0	0	0	1	0	0	0	0	1
724866	NA	NA	0	NA	0	NA	NA	NA	NA	NA
724868	0	0	NA	0	0	0	0	0	0	0
724869	0	0	0	0	0	0	0	0	0	0
724870	0	0	0	0	NA	0	0	0	0	0
724872	0	0	0	0	0	0	0	0	0	0
724873	0	0	0	0	1	0	0	0	0	0
724878	0	0	0	0	0	0	0	0	0	0
724879	0	0	0	0	0	0	0	0	0	0
735784	0	0	0	0	0	0	0	0	0	0
753532	0	0	0	1	0	1	0	0	1	0
753538	0	0	1	0	0	0	1	0	0	0
753539	1	0	0	0	0	0	0	0	0	0
753541	0	0	0	1	0	0	1	0	1	0
753546	NA	NA	0	NA	1	NA	NA	NA	NA	NA
753547	0	0	NA	0	0	1	0	0	0	0
753548	NA	NA	1	NA	0	NA	NA	NA	NA	NA
753551	0	0	NA	0	NA	0	0	0	0	0
753552	0	0	1	0	0	1	1	0	0	0
753554	0	0	0	0	NA	0	0	0	0	1
753555	0	0	1	1	0	0	1	0	0	0
753556	0	0	0	1	0	0	1	0	0	0
753558	0	0	0	0	0	0	0	0	0	0
753561	0	0	1	1	0	0	1	0	1	0
753562	0	0	0	1	0	0	1	0	1	0
753563	1	1	1	0	1	0	0	1	0	1
753565	0	0	0	0	0	1	0	0	0	0
753566	NA	NA	0	NA	0	NA	NA	NA	NA	NA
753569	0	0	NA	0	0	0	0	0	0	0
753572	0	0	0	0	0	0	0	0	0	0
753573	0	0	1	0	NA	0	1	0	0	0
753574	0	0	1	0	0	0	1	0	0	0
753575	0	0	1	0	0	0	1	0	0	0
753576	0	0	0	0	0	0	0	0	0	0
753583	0	0	0	0	0	1	0	0	0	0
753584	0	0	0	0	0	0	0	0	0	0
753585	0	0	0	0	0	0	1	0	0	0
753586	0	0	0	0	0	0	0	0	0	0
753589	0	0	0	0	0	0	0	0	0	0
753592	0	0	0	0	0	0	0	0	0	0
753594	NA	NA	0	NA	0	NA	NA	NA	NA	NA
753600	0	0	NA	0	0	0	0	0	0	0
753607	0	0	0	0	0	0	0	0	0	0
753608	0	0	1	0	NA	0	1	0	0	0
753610	NA	NA	0	NA	0	NA	NA	NA	NA	NA
753612	0	0	NA	0	0	0	0	0	0	0
753614	0	0	1	0	0	0	1	0	0	0
753615	0	0	0	0	NA	0	0	0	0	0
753616	0	0	0	0	0	1	0	0	0	0
753618	0	1	0	0	0	0	0	0	0	0
753620	NA	NA	0	NA	0	NA	NA	NA	NA	NA
753621	0	0	NA	0	0	0	1	0	0	0
753623	0	0	0	0	0	0	1	0	0	0
753624	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
905933	0	0	NA	0	0	0	0	0	0	0
905934	0	0	0	0	0	0	0	0	0	0
905935	0	0	0	0	NA	0	0	0	0	0
905938	0	0	0	0	1	1	0	0	0	1
905940	0	0	0	0	0	0	0	0	0	0
905941	0	0	0	0	0	0	0	0	0	0
905942	0	0	0	0	0	0	0	0	0	0
905944	0	0	0	0	0	0	0	0	0	0
905947	0	0	0	0	0	0	0	0	0	0
905948	0	0	0	0	0	0	0	0	0	0
905949	0	1	0	0	1	0	0	0	0	0
905950	0	0	1	0	0	0	1	0	0	0
905952	NA	NA	0	NA	0	NA	NA	NA	NA	NA
905955	0	0	NA	0	0	0	0	0	0	1
905956	0	0	0	0	1	0	0	0	0	0
905958	0	0	0	0	NA	0	0	0	0	0
905959	0	0	0	0	0	0	1	0	0	0
905964	0	1	0	0	0	0	0	0	0	0
905965	1	1	0	0	0	0	0	1	0	0
905967	0	0	1	0	0	0	1	0	0	1
905968	0	0	1	1	1	0	1	0	1	1
905969	0	0	0	0	1	0	0	0	0	1
905970	0	0	1	0	0	0	1	0	0	0
905972	0	0	0	0	0	0	0	0	0	0
905973	0	0	0	0	0	0	0	0	0	0
905974	0	0	0	0	0	0	0	0	0	1
905975	NA	NA	0	NA	1	NA	NA	NA	NA	NA
905976	0	0	NA	0	1	0	0	0	0	1
905977	0	0	0	0	1	0	0	0	0	1
905978	0	0	0	0	NA	0	0	0	0	0
905979	0	0	0	0	0	0	0	0	0	0
905980	0	0	0	0	0	0	1	0	0	0
905983	0	0	0	0	0	0	0	0	0	0
905984	0	0	0	0	0	0	0	0	0	0
905986	0	0	0	0	0	0	0	0	0	0
905990	0	0	0	0	0	0	0	0	0	0
905991	NA	NA	0	NA	0	NA	NA	NA	NA	NA
906693	0	0	NA	0	0	0	1	0	0	0
906696	0	0	0	0	1	0	0	0	0	1
906746	0	0	0	0	NA	0	0	0	0	0
906763	0	0	1	0	0	1	0	0	0	0
906765	0	1	0	1	0	0	0	0	0	0
906790	0	0	0	1	1	0	0	0	1	1
906791	0	0	0	0	0	0	0	0	0	0
906792	0	0	0	0	1	0	0	0	0	0
906793	0	0	0	0	1	0	0	0	0	1
906794	0	0	0	0	0	0	0	0	0	0
906795	0	0	0	0	0	0	0	0	0	0
906797	NA	NA	0	NA	0	NA	NA	NA	NA	NA
906798	1	0	NA	0	0	0	0	0	0	0
906800	1	0	1	0	0	1	0	1	0	0
906804	0	1	1	1	NA	0	1	0	1	1
906805	0	0	1	0	0	0	1	0	0	0
906808	0	0	0	0	0	0	0	0	0	0
906814	NA	NA	0	NA	1	NA	NA	NA	NA	NA
906817	0	0	NA	0	0	0	0	0	0	0
906818	0	0	0	0	1	0	0	0	0	1
906820	0	0	0	0	NA	0	0	0	0	1
906821	0	0	0	0	0	0	0	0	0	0
906824	0	0	0	0	0	0	1	0	0	0
906827	0	0	0	0	0	0	0	0	0	0
906828	0	0	0	0	0	0	0	0	0	0
906830	NA	NA	0	NA	1	NA	NA	NA	NA	NA
906831	0	0	NA	0	0	0	0	0	0	0
906832	0	0	0	0	0	0	0	0	0	0
906833	0	0	0	0	NA	0	0	0	0	0
906834	0	1	0	0	0	0	0	0	0	0
906835	0	0	0	0	0	0	0	0	0	0
906836	1	1	1	0	0	0	0	1	0	0
906837	0	0	0	1	0	0	1	0	0	0
906838	0	0	0	0	0	0	0	0	0	0
906839	0	0	0	0	0	0	0	0	0	0
906842	1	1	0	0	0	0	1	1	0	0
906843	0	0	0	0	0	0	1	0	0	0
906846	0	0	0	0	0	0	0	0	0	0
906847	NA	NA	0	NA	0	NA	NA	NA	NA	NA
906848	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
906849	0	0	NA	0	0	0	0	0	0	0
906852	0	0	NA	0	NA	0	1	0	0	0
906853	0	0	0	0	NA	0	0	0	0	0
906855	0	0	0	0	1	0	0	0	0	1
906856	0	1	0	0	1	1	1	0	0	1
906861	0	0	0	0	0	0	0	0	0	0
906863	NA	NA	1	NA	0	NA	NA	NA	NA	NA
906864	0	0	0	0	0	0	0	0	0	0
906865	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
906868	0	0	0	0	NA	0	0	0	0	0
906869	0	0	NA	0	0	0	1	0	0	0
906870	0	0	0	1	NA	1	0	1	1	0
906871	0	0	0	0	0	0	0	0	0	0
906872	0	0	0	0	0	0	0	0	0	0
906873	NA	NA	0	NA	0	NA	NA	NA	NA	NA
906875	0	0	0	0	0	0	0	0	0	0
906877	0	0	NA	0	0	0	0	0	0	0
906999	0	0	0	0	NA	0	0	0	0	0
907000	1	0	0	0	0	0	0	0	1	0
907042	0	0	0	0	0	0	0	0	0	0
907043	0	0	0	0	1	0	1	1	0	1
907044	1	1	0	0	0	0	0	0	0	0
907050	0	0	0	0	0	0	0	0	0	0
907051	0	0	0	0	0	0	0	0	0	0
907053	0	0	0	0	0	0	0	0	0	0
907055	0	0	0	1	0	0	0	0	1	0
907056	0	0	0	0	0	0	0	0	0	0
907057	NA	NA	0	NA	0	NA	NA	NA	NA	NA
907058	0	0	0	0	1	0	0	0	0	1
907060	0	0	NA	0	0	0	0	0	0	0
907061	0	0	0	0	NA	0	1	0	0	0
907062	0	0	0	0	0	0	1	0	0	0
907064	0	0	0	0	0	0	0	0	0	0
907065	0	0	0	0	0	0	0	0	0	0
907066	0	0	0	0	0	0	0	0	0	0
907067	0	0	0	0	1	0	0	0	0	1
907068	0	1	0	0	0	0	0	0	0	0
907069	0	0	0	0	0	0	0	0	0	0
907071	0	0	0	0	0	0	0	0	0	0
907072	0	0	0	1	0	0	0	1	1	0
907073	0	0	0	0	0	0	1	0	0	0
907169	0	0	0	0	0	0	0	0	0	0
907170	0	1	0	0	0	0	0	0	0	0
907172	0	0	0	0	0	0	0	0	0	0
907173	NA	NA	0	NA	0	NA	NA	NA	NA	NA
907268	0	0	1	0	0	0	1	0	0	0
907269	1	1	NA	1	0	0	1	1	0	0
907270	1	1	0	0	NA	0	1	1	0	0
907271	0	0	0	0	0	0	0	0	0	0
907272	0	0	0	0	0	0	0	0	0	0
907273	0	1	0	0	0	0	0	0	0	0
907274	0	0	0	0	0	0	0	0	0	0
907275	0	0	0	1	0	0	1	0	1	0
907276	0	0	0	0	0	0	0	0	0	0
907277	0	0	1	0	0	0	0	0	0	0
907278	0	0	0	0	0	0	0	0	0	0
907279	0	0	0	0	0	0	0	0	0	0
907280	0	0	0	0	1	0	0	0	0	1
907281	0	0	0	0	0	1	0	0	0	0
907285	NA	NA	0	NA	0	NA	NA	NA	NA	NA
907286	0	0	0	0	0	0	0	0	0	0
907290	0	0	NA	0	0	0	0	0	0	0
907295	0	0	0	0	NA	0	0	0	0	0
907298	0	0	0	0	0	0	0	0	0	0
907299	0	1	0	0	0	1	0	1	0	0
907300	0	0	0	1	1	1	0	0	1	1
907311	NA	NA	0	NA	1	NA	NA	NA	NA	NA
907312	0	0	0	0	1	0	0	0	0	1
907313	0	0	NA	0	0	0	0	0	0	0
907314	0	0	0	0	NA	0	0	0	0	0
907317	0	0	0	0	0	0	0	0	0	0
907318	0	0	0	0	0	0	1	0	0	0
907319	0	0	0	0	0	0	1	0	0	0
907320	0	0	1	0	0	0	1	0	0	0
907321	0	NA	0	NA	0	NA	NA	NA	NA	NA
907322	0	0	0	0	0	0	0	0	0	0
907323	1	1	0	0	0	1	0	0	0	0
907783	0	0	0	0	1	0	0	0	0	1
907787	0	1	0	0	0	0	0	0	0	0
907788	0	0	0	0	0	0	0	0	0	0
907789	NA	0	0	1	0	0	0	1	0	0
907791	0	NA	0	NA	0	NA	NA	NA	NA	NA
907796	0	0	NA	0	0	0	0	0	0	0
908125	NA	0	0	0	NA	0	0	0	0	0
