Camptothecin	5-Fluorouracil	Afatinib	Taselisib	PD0325901	Linsitinib	Sapitinib	Luminespib	Alpelisib	SCH772984
749709	-0.251083	5.530934	1.956611	-1.226492	1.761033	4.378333	2.501185	-0.340819	1.470716	3.213751
749710	1.343315	5.747062	1.785775	1.780827	-0.891411	3.197062	2.30601	-2.030566	2.855257	2.432928
749711	1.736985	6.699858	2.875085	3.789848	2.242383	3.466814	4.809483	1.805072	4.529696	5.015511
749712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
749713	-3.106684	5.503561	2.389625	0.288934	NA	1.401273	2.944706	-2.440277	1.471257	5.716053
749714	0.224916	5.475732	2.3266	2.105948	1.724074	5.428731	3.038989	-2.241673	3.968692	3.52766
749715	-1.728301	5.093022	0.721975	0.027952	1.153928	4.471311	1.420147	-3.580668	2.896706	5.194448
749716	1.054417	5.892066	-3.736595	2.264402	NA	3.837342	0.789987	-2.207448	3.272338	2.329184
749717	-2.078181	4.015417	3.745974	3.629126	2.536627	5.376742	3.970892	-2.249847	4.143153	5.005159
905936	-2.985721	2.461866	1.25578	1.867691	-1.454187	3.084366	4.097431	-3.557272	2.501581	-1.238551
905937	-2.869888	2.774022	0.824822	1.041854	0.463606	3.319242	3.501895	-3.120042	1.961992	2.626326
905939	-2.143997	3.208651	1.939241	0.171516	-2.690403	1.897883	5.077142	-0.786355	2.350621	-1.520365
905945	-0.906245	4.97194	1.915629	0.80411	2.627414	3.499997	3.349923	-1.447733	1.602163	3.14808
905946	-1.12617	3.580482	3.625707	1.254885	3.326673	2.957168	5.648806	-2.263287	2.25542	5.278364
905951	-1.236487	4.793217	1.785	2.611017	2.016201	5.292006	5.619625	-2.620923	4.095551	3.58713
905957	-0.287232	4.557473	1.439695	1.35822	0.063895	4.997701	3.899561	-3.08256	2.322805	2.084453
905960	-2.227156	4.199544	1.678167	2.966106	-0.45884	4.982542	3.921041	-3.457536	4.141262	0.965824
905961	-1.044537	2.060363	2.632773	1.06397	-3.317181	0.689615	5.155819	0.037417	2.967247	-2.374731
905962	-3.092858	4.908481	2.059271	3.901711	-2.587159	4.077453	5.946936	-3.21536	4.661089	0.370098
905971	-1.265275	1.375821	1.238943	1.176382	-3.09183	2.950505	5.256099	-2.314341	3.395547	-2.090774
905989	-2.0952	2.486282	1.237494	1.972524	-1.242744	4.305624	5.452839	-1.163707	5.357361	0.214103
906801	-2.26343	5.199278	2.683225	-1.077405	-0.470223	3.954277	2.308834	-1.525918	1.099379	2.275609
906812	-0.043674	5.587042	1.072149	1.782734	0.970915	2.109371	4.519009	-3.570091	2.607741	2.70935
906826	-1.152528	7.676629	3.956406	3.379493	3.723164	6.648189	7.096319	-1.981945	6.634235	6.047488
906844	-4.271105	2.571143	1.666176	3.371343	-5.839973	1.937528	3.382263	-4.295916	3.683013	-4.019831
906851	0.169891	4.38984	1.865122	0.855265	2.288474	5.467471	3.647034	-0.969482	1.177257	3.363211
906862	-1.268542	5.168984	1.904104	0.499757	0.976025	3.692695	3.173727	-3.169696	3.288178	3.554931
907045	0.84632	6.399234	NA	3.465068	1.749912	3.99037	1.502635	-2.31035	4.033485	3.04081
